application_id,programme_id,Programme,Application Status,Merit Score,nts_ok_flag,every_thing_ok_in_education,Domicile,OPEN List Status,BWP List Status,Gender,DOB,Religion,Blood Group,Nationality,Hafiz e Quran,NCC,Province,g_monthly_income,g_profession,g_city,g_relation,financial_help,hostel,quota_fata,quota_baluchistan,quota_ajk,quota_gilgit,quota_op,quota_army,quota_iub_tchr_emp,quota_industrial,quota_pharmaceutical,special_person,dept_test_marks,particular_test_name,Admission Test,particular_test_roll_no,particular_test_total,particular_test_name2,Admission Test 2,particular_test_roll_no2,particular_test_total2,ap_fee_challan_nr,dept_test_marks,application_date,uploaded_challan,challan_upload_date,ssc_year,ssc_roll_no,ssc_obtained,ssc_total,ssc_exam,ssc_exam_type,ssc_board,ssc_subject_group,hsc_year,hsc_roll_no,Terminal Degree,hsc_total,hsc_exam,hsc_exam_type,hsc_board,hsc_subject_group,hsc_opt_1_name,hsc_opt_1_obtained,hsc_opt_1_total,hsc_opt_2_name,hsc_opt_2_obtained,hsc_opt_2_total,hsc_opt_3_name,hsc_opt_3_obtained,hsc_opt_3_total,hsc_opt_4_name,hsc_opt_4_obtained,hsc_opt_4_total,hsc_opt_5_name,hsc_opt_5_obtained,hsc_opt_5_total,hsc_opt_6_name,hsc_opt_6_obtained,hsc_opt_6_total,grad_year,grad_roll_no,Terminal Degree 2,grad_obtained,grad_exam,grad_exam_type,grad_institute,grad_eng_obtained,grad_eng_total,grad_opt_1_name,grad_opt_1_obtained,grad_opt_1_total,grad_opt_2_name,grad_opt_2_obtained,grad_opt_2_total,grad_opt_3_name,grad_opt_3_obtained,grad_opt_3_total,grad_opt_4_name,grad_opt_4_obtained,grad_opt_4_total,grad_opt_5_name,grad_opt_5_obtained,grad_opt_5_total,Document Verified,English Marks,Offered
1461473,146,Pharm-D,Application Received,71.186,1,1,OPEN,NA,NA,male,1/1/1999,Islam,O+,Pakistan,No,0,Baluchistan,0,Landlord,Sohbatpur,Father,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,1473146,0,12/28/2017,,1/22/2018 12:39,2013,130323,594,1050,Matric/SSC,Annual,Federal board of intermediate and secondary education Islamabad,Science,2016,364783,702,3500,DAE,Annual,Punjab board of technical education Lahore ,Pre-Engineering,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461475,146,Pharm-D,Application Fee Received,74.545,1,1,OPEN,NA,NA,male,7/28/2000,Islam,O+,pakistan,Yes,0,Khyber Pakhtunkhwa,18000,Mufti,khanpur,father,No,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,65, L1762-120020,100,MCAT,65,502668,1100,1475146,0,12/28/2017,,1/2/2018 8:36,2015,864156,702,1100,Matric/SSC,Annual,BWP,Science,2017,643219,867,1100,FSc,Annual,BWP,Pre-Medical,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461835,146,Pharm-D,Challan Printed,68.073,1,1,OPEN,NA,NA,male,4/5/1999,Islam,O+,Pakistani,No,0,FATA,30000,Farmer,Hangu,Father,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,NAT,44,120043,100,,0,,0,1835146,0,1/10/2018,,,2015,139451,906,1100,Matric/SSC,Annual,Peshawar board,Science,2017,95930,820,1100,FSc,Annual,Peshawar board,Pre-Medical,,130,150,,130,150,,137,150,,90,100,,87,100,,136,150,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462032,146,Pharm-D,Application Fee Received,62.745,1,1,OPEN,NA,NA,male,3/10/1998,Islam,,Pakistani,No,0,FATA,15000,Driver,Kohat,Brother,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,NAT,45,A1760-120046,100,,0,,0,2032146,0,1/15/2018,,1/22/2018 8:26,2015,59514,720,1100,Matric/SSC,Annual,BISE KOHAT,Science,2017,38198,744,1100,FSc,Annual,BISE KOHAT,Pre-Medical,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461732,146,Pharm-D,Application Received,72.836,1,1,OPEN,NA,NA,male,3/3/1998,Islam,,Pakistani,No,0,Khyber Pakhtunkhwa,86000,Professor at Higher Education Department,Kohat,Father,No,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,50,120116,100,,0,,0,1732146,0,1/8/2018,,,2014,60331,885,1100,Matric/SSC,Annual,BISE Kohat,Science,2017,41808,869,1100,FSc,Annual,BISE Kohat,Pre-Medical,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462144,146,Pharm-D,Challan Printed,67.873,1,1,OPEN,NA,NA,male,5/1/1998,Islam,AB+,pakistani,No,0,FATA,13000,retierd govt servent,bara,son,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,NAT,55,H1760-120161,100,,0,,0,2144146,0,1/16/2018,,1/22/2018 12:56,2014,122188,880,1100,Matric/SSC,Annual,BISE PESHAWAR,Science,2016,78975,792,1100,FSc,Annual,BISE PESHAWAR,Pre-Medical,,133,200,,131,200,,152,200,,133,200,,39,50,,36,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462442,146,Pharm-D,Application Received,54.4,0,1,OPEN,NA,NA,male,4/27/1999,Islam,,Pakistan,No,0,FATA,0,student,landikotal,brother,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,2442146,0,1/21/2018,,,2015,159360,780,1100,Matric/SSC,Annual,Board of intermediate and secondary education Peshawar,Science,2017,92028,753,1100,FSc,Annual,Board of intermediate and secondary education Peshawar,Pre-Medical,,148,200,,126,200,,130,200,,38,50,,128,200,,35,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462304,146,Pharm-D,Application Fee Received,79.6,1,1,OPEN,NA,NA,male,3/1/1999,Islam,O+,Pakistani,No,0,FATA,30000,Shop Keeper,Kurram Agency,Father,No,Yes,Yes,No,No,No,No,No,No,No,No,No,0,NAT,66,1,100,ECAT,0,1,0,2304146,0,1/18/2018,,1/19/2018 2:18,2015,133540,972,1050,Matric/SSC,Annual,FBISE Islamabad,Science,2017,86085,918,1100,FSc,Annual,BISE Peshawar,Pre-Medical,,169,200,,151,200,,179,200,,44,50,,176,200,,38,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461709,146,Pharm-D,Application Fee Received,60.145,0,1,OPEN,NA,NA,male,3/6/1998,Islam,A+,Pakistani,No,0,FATA,35000,Driver,Kurram Agency,Father,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,GAT,68,420263,100,,0,,0,1709146,0,1/7/2018,,,2014,48603,859,1100,Matric/SSC,Annual,BISE D.I Khan,Science,2016,520667,837,1100,FSc,Annual,FBISE,Pre-Medical,,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461707,146,Pharm-D,Challan Printed,64.364,0,1,OPEN,NA,NA,male,4/10/1998,Islam,A+,Pakistani,No,0,FATA,35000,Government Servant,Kohat,Father,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,GAT,82,120227,100,,0,,0,1707146,0,1/7/2018,,,2014,48569,883,1100,Matric/SSC,Annual,BISE D.I Khan,Science,2016,520673,895,1100,FSc,Annual,FBISE,Pre-Medical,,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461568,146,Pharm-D,Application Fee Received,67.745,1,1,OPEN,NA,NA,male,3/10/1998,Islam,,Pakistani,Yes,0,FATA,5000,Driver,Miran Shah NWA,Brother,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,NAT,50,1600054,100,,0,,0,1568146,0,1/2/2018,,,2014,49165,799,1100,Matric/SSC,Annual,BISE BANNU,Science,2016,29348,784,1100,FSc,Annual,BISE Bannu,Pre-Medical,,129,200,,158,200,,133,200,,142,200,,42,50,,36,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461965,146,Pharm-D,Application Received,69.345,1,1,OPEN,NA,NA,male,7/10/1998,Islam,B+,pakistani,No,0,FATA,10000,farmer,Wana,Father,No,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,98,35435,100,,0,,0,1965146,0,1/12/2018,,,2014,16348,666,1100,Matric/SSC,Annual,BISE D I Khan,Science,2016,21467,694,1100,FSc,Annual,BISE D I Khan,Pre-Medical,,67,100,,89,100,,67,100,,56,100,,99,100,,90,100,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461408,146,Pharm-D,Application Fee Received,82.691,1,1,Bahawalpur,NA,NA,female,6/17/1999,Islam,A+,PAKISTANI,No,0,Punjab,28000,RETIRED TEACHER,BAHAWALNAGAR,FATHER,No,No,No,No,No,No,No,No,No,No,No,No,0,NAT,71,I1714-120001,100,MCAT,71,701734,1100,1408146,0,12/25/2017,,12/26/2017 10:14,2014,200354,867,1100,Matric/SSC,Annual,BISE BWP7,Science,2017,900202,966,1100,FSc,Annual,BISE BWP,Pre-Medical,,156,200,,184,200,,184,200,,184,200,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462381,146,Pharm-D,Challan Printed,80.2,1,1,Bahawalpur,NA,NA,male,1/1/1998,Islam,B+,pakistani,Yes,0,Punjab,50000,business man,bahawalnager,brother,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,57,L1739-120014,100,,0,,0,2381146,0,1/19/2018,,1/22/2018 12:44,2015,803092,885,1100,Matric/SSC,Annual,bise bahawalpur board,Science,2017,602744,931,1100,FSc,Annual,bise bahawalpur,Pre-Medical,,166,200,,170,200,,183,200,,47,50,,160,200,,45,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461828,146,Pharm-D,Application Fee Received,79.564,1,1,Bahawalpur,NA,NA,female,3/25/2000,Islam,B+,Pakistan,No,0,Punjab,18000,Manager in a bricks company,Bahawalnagar,Father,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,65,120125,100,MCAT,65,701210,1100,1828146,0,1/10/2018,,,2014,200763,893,1100,Matric/SSC,Annual,BISE Bahawalpur,Science,2017,900205,967,1100,FSc,Annual,BISE Bahawalpur,Pre-Medical,,176,200,,173,200,,190,200,,0,0,,180,200,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
