application_id,programme_id,Programme,"Application Status","Merit Score",nts_ok_flag,every_thing_ok_in_education,Domicile,"OPEN List Status","BWP List Status",Gender,DOB,Religion,"Blood Group",Nationality,"Hafiz e Quran",NCC,Province,g_monthly_income,g_profession,g_city,g_relation,financial_help,hostel,quota_fata,quota_baluchistan,quota_ajk,quota_gilgit,quota_op,quota_army,quota_iub_tchr_emp,quota_industrial,quota_pharmaceutical,special_person,dept_test_marks,particular_test_name,"Admission Test",particular_test_roll_no,particular_test_total,particular_test_name2,"Admission Test 2",particular_test_roll_no2,particular_test_total2,ap_fee_challan_nr,dept_test_marks,application_date,uploaded_challan,challan_upload_date,ssc_year,ssc_roll_no,ssc_obtained,ssc_total,ssc_exam,ssc_exam_type,ssc_board,ssc_subject_group,hsc_year,hsc_roll_no,"Terminal Degree",hsc_total,hsc_exam,hsc_exam_type,hsc_board,hsc_subject_group,hsc_opt_1_name,hsc_opt_1_obtained,hsc_opt_1_total,hsc_opt_2_name,hsc_opt_2_obtained,hsc_opt_2_total,hsc_opt_3_name,hsc_opt_3_obtained,hsc_opt_3_total,hsc_opt_4_name,hsc_opt_4_obtained,hsc_opt_4_total,hsc_opt_5_name,hsc_opt_5_obtained,hsc_opt_5_total,hsc_opt_6_name,hsc_opt_6_obtained,hsc_opt_6_total,grad_year,grad_roll_no,"Terminal Degree 2",grad_obtained,grad_exam,grad_exam_type,grad_institute,grad_eng_obtained,grad_eng_total,grad_opt_1_name,grad_opt_1_obtained,grad_opt_1_total,grad_opt_2_name,grad_opt_2_obtained,grad_opt_2_total,grad_opt_3_name,grad_opt_3_obtained,grad_opt_3_total,grad_opt_4_name,grad_opt_4_obtained,grad_opt_4_total,grad_opt_5_name,grad_opt_5_obtained,grad_opt_5_total,"Document Verified","English Marks",Offered
784302,78,"BS Physics","Challan Printed",850.000,1,1,OPEN,NA,NA,male,1999-02-13,Islam,AB+,"Pakistani ",No,0,FATA,15000,"farmer ","DERA ISMAIL KHAN ",father,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,430278,0.00,2018-01-11,,,2014,45705,815,1100,Matric/SSC,Annual,"BISE D.I.KHAN",Science,2016,32038,860,1100,FSc,Annual,"BISE D.I.KHAN ",Pre-Engineering,Physics,148,200,Mathematics,140,200,,162,200,,177,200,,36,50,,43,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
783962,78,"BS Physics","Challan Printed",920.000,1,1,OPEN,NA,NA,male,1998-09-05,Islam,A+,Pakistani,No,0,"Khyber Pakhtunkhwa",35000,BUISENESS,TIMERGARA,FATHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,396278,0.00,2017-12-25,,,2014,71299,933,1100,Matric/SSC,Annual,"BISE MALAKAND",Science,2016,77199,930,1100,FSc,Annual,"BISE PESHAWAR",Pre-Medical,Physics,171,200,Mathematics,164,200,,175,200,,44,50,,172,200,,44,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
784630,78,"BS Physics","Admission Fee Challan Received",838.000,1,1,OPEN,NA,NA,male,1998-07-04,Islam,A+,Pakistan,No,0,FATA,30600,dispenser," bajaur"," father",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,463078,0.00,2018-01-21,,"2018-01-22 06:56:10",2014,127238,847,1100,Matric/SSC,Annual,"Peshawar board",Science,2016,79710,848,1100,FSc,Annual,"Peshawar board",Pre-Medical,Physics,146,200,Mathematics,167,200,,0,0,,0,0,,0,0,,0,0,0,,0,0,,Annual,,146,200,,0,0,,0,0,,0,0,,,,,,,1,0,No
784168,78,"BS Physics","Application Fee Received",836.000,1,1,OPEN,NA,NA,male,1999-03-16,Islam,O+,Pakistani,No,0,FATA,32000,"PTC Teacher","Mir Ali",Father,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,NAT,21,2002,100,,0,,0,416878,0.00,2018-01-08,,"2018-01-08 05:56:33",2015,133508,892,1050,Matric/SSC,Annual,"FBISE ISLAMABAD",Science,2017,521410,841,1100,FSc,Annual,"FBISE Islamabad",Pre-Engineering,Physics,157,200,Mathematics,165,200,,150,200,,48,50,,47,50,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
784723,78,"BS Physics","Admission Fee Challan Received",778.000,1,1,OPEN,NA,NA,male,2000-02-12,Islam,,Pakistani,No,0,FATA,20000,Farmer,"North Waziristan",Father,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,472378,0.00,2018-02-12,,,2015,49853,860,1100,Matric/SSC,Annual,"BISE Bannu, Khyber Pakhtunkhawa.",Science,2017,33996,783,1100,FSc,Annual,"BISE Bannu, Khyber Pakhtunkhawa.",Pre-Engineering,Physics,131,200,Mathematics,151,200,,158,200,,148,200,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,1,0,No
784355,78,"BS Physics","Application Fee Received",896.000,1,1,Bahawalpur,"Display In Provisional Merit List",NA,female,2000-03-16,Islam,O+,PAKISTANI,No,0,Punjab,20000,AGRICULTURE,BAHAWALNAGAR,FATHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,49,120492,100,,0,,0,435578,0.00,2018-01-13,,"2018-01-15 10:04:11",2016,200469,857,1100,Matric/SSC,Annual,"BISE BAHAWALNAGAR",Science,2016,601200,906,1100,FSc,Annual,"BISE BAHAWALNAGAR",Pre-Medical,Physics,155,200,Mathematics,177,200,,0,0,,178,200,,0,0,,163,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
784039,78,"BS Physics","Application Fee Received",838.000,1,1,Bahawalpur,"Display In Second Merit List","Display In Provisional Merit List",male,2000-11-26,Islam,O+,Paskistan,No,0,Punjab,30000,Farmar,Haroonabad,Father,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,403978,0.00,2018-01-01,,"2018-01-02 09:42:46",2015,804220,953,1100,Matric/SSC,Annual,"BISE Bahawalpur",Science,2017,609579,843,1100,FSc,Annual,"BISE Bahawalpur",Pre-Engineering,Physics,177,200,Mathematics,144,200,,162,200,,41,50,,128,200,,45,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,1,0,Yes
784259,78,"BS Physics","Challan Printed",816.000,1,1,Bahawalpur,NA,NA,female,2001-01-28,Islam,,"Pakistani ",No,0,Punjab,43260,"Govt. employee ","Bahawalnagar ","Daughter ",Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,51,h1715-120398,100,,0,,0,425978,0.00,2018-01-10,,,2015,801913,850,1100,Matric/SSC,Annual,"Bise BWP",Science,2017,604303,821,1100,FSc,Annual,"Bise BWP",Pre-Medical,Physics,136,200,Mathematics,144,200,,141,200,,144,200,,44,50,,47,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
784509,78,"BS Physics","Application Fee Received",820.000,1,1,Bahawalpur,NA,NA,male,1999-12-25,Islam,B+,Pakistani,No,0,Punjab,50000,"Govt. Employee",Khanewal,Father,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,60,120003,100,,0,,0,450978,0.00,2018-01-17,,"2018-01-18 08:26:29",2015,846876,916,1100,Matric/SSC,Annual,"Board of Intermediate and Secondary Education Bahawalpur",Science,2017,632784,825,1100,FSc,Annual,"Board of Intermediate and Secondary Education Bahawalpur",Pre-Medical,Physics,170,200,Mathematics,149,200,,160,200,,45,50,,111,200,,43,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
784238,78,"BS Physics","Application Received",-30.000,1,0,Bahawalpur,NA,NA,male,1998-02-08,Islam,,Pakistani,No,0,Punjab,25000,"Clerk ","Bahwalnagar ","Father ",,,,,,,,,,,,,0,,0,,0,,0,,,423878,0.00,2018-01-10,,,0,,0,0,,Annual,,,,,0,0,,Annual,,,Physics,0,0,Mathematics,0,0,,0,0,,0,0,,0,0,,,,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
